"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Louisiana","N2O",,0,0,0,,0,0,0,0,0,0.01,0.01,0,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.04,0.01,0.01,0.04,0.03,0.03,0.03,0.03,0.02,0.04,0.02,0.02,0.02
"Maine","CO2",,,,,,,,,,,,0.01,,,,,0.03,0,,0.05,0,,,,,,,,0.01,,,0,0
"Maine","CH4",,,,,,,,,,,,0,,,,,0,0,,0,0,,,,,,,,0,,,0,0
"Maine","N2O",,,,,,,,,,,,0,,,,,0,0,,0,0,,,,,,,,0,,,0,0
"Maryland","CO2",,,0,,,,,,,0,0,0,0,,0,0,0.01,0,0,0.01,0,0.03,0,,0,,,0.01,,0,,0,0
"Maryland","CH4",,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,,0,,0,0
"Maryland","N2O",,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,,0,,0,0
"Massachusetts","CO2",,,,,,,,,,,,,0,,,0.01,,,0.01,,0,,,,,,0,0,,,,0.03,0.04
"Massachusetts","CH4",,,,,,,,,,,,,0,,,0,,,0,,0,,,,,,0,0,,,,0,0
"Massachusetts","N2O",,,,,,,,,,,,,0,,,0,,,0,,0,,,,,,0,0,,,,0,0
"Michigan","CO2",0.13,,,,0.1,0.05,0.01,,0.14,0.37,0.08,,0.03,0.21,0.03,0.03,0.14,1.83,0.01,0.15,0.12,0.1,0.51,0,0.03,0.04,0.06,0.08,0.06,0.06,0.01,0.06,0.03
"Michigan","CH4",0.01,,,,0.01,0,0,,0.01,0.03,0,,0,0.01,0,0,0.01,0.13,0,0.01,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0
"Michigan","N2O",0.01,,,,0,0,0,,0.01,0.02,0,,0,0.01,0,0,0.01,0.08,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0
"Minnesota","CO2",2.99,1.43,0.31,0.04,0.14,0.56,0.43,0.06,0.63,0.08,0.7,0.04,0.15,1.08,0.26,0.59,2.06,0.99,0.08,0.51,1.39,7.24,3.57,0.2,0.12,0.48,0.15,0.03,0.67,0.09,0.07,1.5,0.02
"Minnesota","CH4",0.2,0.09,0.02,0,0.01,0.03,0.02,0,0.04,0,0.04,0,0.01,0.07,0.02,0.04,0.13,0.06,0,0.03,0.1,0.51,0.25,0.01,0.01,0.03,0.01,0,0.04,0.01,0,0.1,0
"Minnesota","N2O",0.13,0.06,0.01,0,0.01,0.02,0.02,0,0.03,0,0.03,0,0.01,0.05,0.01,0.03,0.09,0.04,0,0.02,0.06,0.32,0.16,0.01,0.01,0.02,0.01,0,0.03,0,0,0.07,0
"Mississippi","CO2",0.21,0.11,0.11,0.03,0.15,0.09,0.2,0.08,0.02,0.06,0.14,0.14,0.1,0.16,0.18,0.64,0.51,0.37,1.02,0.41,1.12,0.75,0.19,1.1,1.27,0.69,0.59,0.39,0.63,0.33,0.29,0.42,0.32
"Mississippi","CH4",0.01,0.01,0.01,0,0.01,0,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.03,0.03,0.02,0.05,0.02,0.06,0.04,0.01,0.06,0.06,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.02
"Mississippi","N2O",0.01,0,0,0,0.01,0,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.03,0.02,0.02,0.04,0.02,0.05,0.03,0.01,0.05,0.06,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.01
"Missouri","CO2",,1,0.25,,1.05,0.26,0.21,0.06,0.02,0.26,0.35,0.05,0.26,0.49,0.55,0.81,0.69,0.5,0.28,0.8,1.51,1.02,0.58,0.44,0.48,0.64,0.46,0.47,0.48,0.83,0.35,1.16,0.35
"Missouri","CH4",,0.05,0.01,,0.05,0.01,0.01,0,0,0.01,0.02,0,0.01,0.02,0.03,0.04,0.03,0.02,0.01,0.04,0.08,0.05,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.02,0.06,0.02
"Missouri","N2O",,0.04,0.01,,0.05,0.01,0.01,0,0,0.01,0.02,0,0.01,0.02,0.02,0.04,0.03,0.02,0.01,0.03,0.07,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.02,0.05,0.02
"Montana","CO2",0.51,0.99,0.03,0.01,3,0,0.62,0,0.65,0.26,14.7,5.54,0.8,20.11,0.2,1.65,9.28,18.06,0.52,0.97,0.26,2.87,6.26,1.9,0.19,8.59,0.89,19.84,2.5,0.47,1.65,11.12,2.22
"Montana","CH4",0.03,0.07,0,0,0.23,0,0.04,0,0.05,0.01,1.25,0.49,0.05,1.72,0.01,0.13,0.7,1.56,0.04,0.08,0.02,0.23,0.41,0.16,0.01,0.75,0.07,1.58,0.21,0.03,0.11,0.89,0.19
"Montana","N2O",0.02,0.04,0,0,0.13,0,0.03,0,0.03,0.01,0.65,0.24,0.04,0.88,0.01,0.07,0.41,0.79,0.02,0.04,0.01,0.13,0.28,0.08,0.01,0.38,0.04,0.87,0.11,0.02,0.07,0.49,0.1
"Nebraska","CO2",,0,,,,0,0,0,0,0,0.03,0.01,0.02,0,0.01,0,0.92,0.01,0.02,0.06,0.02,0.02,1.85,0.02,0,0,0.01,0,0.01,0,0.01,0.13,0.19
"Nebraska","CH4",,0,,,,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01,0.01
"Nebraska","N2O",,0,,,,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.01,0.01
"Nevada","CO2",0,0.03,0.16,0,0.15,0.03,0.29,0,0.01,0.49,0.29,0.57,0.04,0.01,0.18,0.15,0.39,0.19,0.73,0.06,0.01,0.31,0.83,0.64,0.2,0.02,0.13,0.02,0.76,0.01,0.04,0.11,0.05
"Nevada","CH4",0,0,0.01,0,0.01,0,0.01,0,0,0.03,0.02,0.03,0,0,0.01,0.01,0.02,0.01,0.05,0,0,0.01,0.04,0.04,0.01,0,0.01,0,0.05,0,0,0.01,0
"Nevada","N2O",0,0,0.01,0,0.01,0,0.01,0,0,0.02,0.01,0.02,0,0,0.01,0.01,0.02,0.01,0.03,0,0,0.01,0.04,0.03,0.01,0,0.01,0,0.03,0,0,0,0
"New Hampshire","CO2",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0.01
"New Hampshire","CH4",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0
"New Hampshire","N2O",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0
"New Jersey","CO2",0.04,0.08,0.23,0.03,0,0.25,0.1,0.08,0.05,0.14,0.03,0.11,0.05,0.02,0.05,0.02,0.03,0.16,0.05,,0.03,,0.02,,0.03,0.02,0.01,0.02,0.01,0.06,0.02,0.03,0.08
"New Jersey","CH4",0,0.01,0.02,0,0,0.02,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0,0.01,0,,0,,0,,0,0,0,0,0,0,0,0,0
"New Jersey","N2O",0,0,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,,0,,0,,0,0,0,0,0,0,0,0,0
"New Mexico","CO2",0.08,0.04,0.61,1.95,0.57,1.95,1.4,0.73,0.45,0.26,3.05,0.33,3.48,3.54,1.9,1.56,1.6,0.37,0.42,0.98,0.62,5.5,3.59,2.74,0.55,0.32,0.77,0.9,2.5,0.48,1.41,1.86,15.84
"New Mexico","CH4",0.01,0,0.04,0.13,0.04,0.14,0.09,0.05,0.03,0.02,0.2,0.02,0.24,0.24,0.14,0.1,0.1,0.02,0.03,0.06,0.04,0.38,0.24,0.21,0.04,0.02,0.04,0.05,0.15,0.03,0.08,0.11,1.04
"New Mexico","N2O",0,0,0.03,0.09,0.02,0.09,0.06,0.03,0.02,0.01,0.13,0.01,0.15,0.16,0.08,0.07,0.07,0.02,0.02,0.04,0.03,0.24,0.16,0.12,0.02,0.01,0.03,0.04,0.11,0.02,0.06,0.08,0.7
"New York","CO2",,,,,0,,,,,,,,0,,,,0.01,,0.04,,0,,0.01,0,,0.08,0.04,,0.01,,0.01,0,0
"New York","CH4",,,,,0,,,,,,,,0,,,,0,,0,,0,,0,0,,0.01,0,,0,,0,0,0
"New York","N2O",,,,,0,,,,,,,,0,,,,0,,0,,0,,0,0,,0,0,,0,,0,0,0
"North Carolina","CO2",0.04,0.02,0.01,0.04,0.06,0.03,0.01,0,0.07,0.24,0.61,0.26,0.13,0.14,0.08,0.08,0.17,0.41,0.29,0.2,0.24,0.39,0.17,0.23,0.14,0.26,2.16,0.37,0.12,0.16,0.14,0.24,0.17
"North Carolina","CH4",0,0,0,0,0,0,0,0,0,0.01,0.03,0.01,0.01,0.01,0,0,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.11,0.02,0.01,0.01,0.01,0.01,0.01
"North Carolina","N2O",0,0,0,0,0,0,0,0,0,0.01,0.03,0.01,0.01,0.01,0,0,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.09,0.02,0.01,0.01,0.01,0.01,0.01
"North Dakota","CO2",0,,0,0.01,0.01,0,0,0,0,0.07,0.01,0.01,0.05,0.02,0.04,0.01,0.04,0.01,0,0.04,0.02,0.01,0.05,0,0.01,0.01,0,0.04,0.03,0,0.01,0,0
"North Dakota","CH4",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Dakota","N2O",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ohio","CO2",,,,,,,,,,,,0,0,0.02,0.01,0.15,0,0.01,0.01,0,0,,0.01,0,0.02,0,0.01,,,0.02,0.01,0.01,0.05
"Ohio","CH4",,,,,,,,,,,,0,0,0,0,0.01,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0
"Ohio","N2O",,,,,,,,,,,,0,0,0,0,0.01,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0
"Oklahoma","CO2",0,0.46,0.49,0.06,0.34,0.73,0.79,0.03,0.04,0.04,0.29,0.14,0.42,1.35,1.64,1.95,1.62,1.4,0.88,2.59,0.54,4.31,0.99,0.66,1.37,0.86,2.01,2.08,1.85,0.56,0.39,1.22,1.18
"Oklahoma","CH4",0,0.02,0.02,0,0.02,0.04,0.04,0,0,0,0.02,0.01,0.02,0.06,0.08,0.09,0.08,0.07,0.04,0.12,0.03,0.21,0.05,0.03,0.06,0.04,0.1,0.1,0.09,0.03,0.02,0.06,0.06
"Oklahoma","N2O",0,0.02,0.02,0,0.02,0.03,0.03,0,0,0,0.01,0.01,0.02,0.06,0.07,0.09,0.07,0.06,0.04,0.11,0.02,0.19,0.04,0.03,0.06,0.04,0.09,0.09,0.08,0.02,0.02,0.05,0.05
"Oregon","CO2",0.92,0.65,1.34,0,1.98,0.07,6.58,0.08,0.1,0.7,2.06,1.61,24.71,7.06,2.02,1.97,3.3,6.02,2.51,3.49,1.3,2.35,4.47,5.76,4.85,10.73,1.49,22.37,10.23,1.66,30.89,27.85,16.24
"Oregon","CH4",0.07,0.06,0.1,0,0.15,0,0.51,0,0.01,0.04,0.15,0.12,2.01,0.61,0.16,0.16,0.26,0.42,0.21,0.29,0.1,0.19,0.33,0.47,0.35,0.84,0.12,1.91,0.82,0.13,2.67,2.2,1.39
"Oregon","N2O",0.04,0.03,0.06,0,0.09,0,0.29,0,0,0.03,0.09,0.07,1.09,0.31,0.09,0.09,0.15,0.26,0.11,0.15,0.06,0.1,0.2,0.25,0.21,0.47,0.07,0.98,0.45,0.07,1.36,1.23,0.71
"Pennsylvania","CO2",0.02,,,,,,,,,,,,,,0.06,0.02,0.06,,0.05,0.01,,,0.02,,0.03,0.04,0.11,,0.02,,0.2,0.01,0.02
"Pennsylvania","CH4",0,,,,,,,,,,,,,,0,0,0,,0,0,,,0,,0,0,0.01,,0,,0.01,0,0
"Pennsylvania","N2O",0,,,,,,,,,,,,,,0,0,0,,0,0,,,0,,0,0,0.01,,0,,0.01,0,0
"South Carolina","CO2",0.04,0.09,0.05,0.05,0.17,0.04,0.05,0.07,0.05,0.09,0.03,0.14,0.25,0.17,0.76,0.48,0.35,0.41,0.91,1.07,0.96,0.34,0.15,0.59,0.53,0.28,0.57,0.43,0.34,0.21,0.17,0.14,0.17
