"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Georgia","CO",43.67,1.95,4.96,11.16,5.91,7.14,8.26,10.24,23.94,22.14,14.45,27.17,171.71,29.11,62.03,38.15,49.87,505.28,48.74,28.11,46.14,346.78,20.17,59.44,63.17,46.5,92.75,199.12,33.11,33.77,14.06,25.93,34.79
"Georgia","NOx",1.11,0.05,0.13,0.29,0.15,0.18,0.21,0.26,0.65,0.59,0.41,0.69,4.3,0.83,1.64,1.04,1.37,12.48,1.37,0.78,1.29,8.64,0.54,1.58,1.7,1.29,2.4,4.98,0.91,0.92,0.4,0.78,1.01
"Hawaii","CH4",,,,,,,,,,,0,,0.03,0.38,,0,,0.19,,0.02,,,0,,,0,0.03,0,0.15,0.02,,0.01,0
"Hawaii","N2O",,,,,,,,,,,0,,0,0.01,,0,,0.01,,0,,,0,,,0,0,0,0,0,,0,0
"Hawaii","CO",,,,,,,,,,,0.01,,0.34,4.83,,0,,2.49,,0.31,,,0.04,,,0,0.37,0.04,1.87,0.2,,0.09,0.05
"Hawaii","NOx",,,,,,,,,,,0,,0.01,0.07,,0,,0.04,,0,,,0,,,0,0.01,0,0.03,0,,0,0
"Idaho","CH4",0.91,2.26,3.55,,37.39,0.07,6.46,0.11,3.84,1.83,87.97,3.18,1.38,16.41,0.92,16.28,24.1,84.64,4.86,1.79,1.35,6.39,70.3,23.61,4.8,34.39,9.74,25.24,12.47,1.53,6.36,25.83,31.03
"Idaho","N2O",0.05,0.13,0.21,,2.05,0,0.37,0.01,0.2,0.11,4.86,0.18,0.08,0.91,0.05,0.89,1.33,4.67,0.27,0.11,0.08,0.33,3.78,1.36,0.28,1.84,0.55,1.38,0.7,0.09,0.38,1.41,1.64
"Idaho","CO",18.82,46.76,73.75,,768.76,1.43,134,2.4,77.73,38.21,1815.12,65.67,28.59,339.11,19.19,333.74,496.54,1743.09,100.75,38.13,28.04,129.85,1438.04,490.04,100.18,703.14,200.56,517.32,255.54,32.08,131.97,530.04,630.74
"Idaho","NOx",0.28,0.64,1.21,,10.55,0.03,1.96,0.05,0.98,0.57,24.85,0.93,0.41,4.63,0.28,4.68,6.84,24.08,1.4,0.59,0.42,1.62,19.26,7.38,1.52,9.3,3.13,7.3,3.92,0.54,2.16,7.39,8.59
"Illinois","CH4",,,,,,,,,,,0.04,0.02,0.16,0.05,0.17,0.06,0.04,0.12,0.15,0.12,0.05,0.29,0.01,0.19,0.14,0.22,0.11,0.04,0.08,0.26,0.1,0.25,0.04
"Illinois","N2O",,,,,,,,,,,0,0,0.01,0,0.02,0.01,0,0.01,0.01,0.01,0.01,0.03,0,0.02,0.01,0.02,0.01,0,0.01,0.03,0.01,0.02,0
"Illinois","CO",,,,,,,,,,,1.15,0.61,4.65,1.37,5.11,1.72,1.06,3.37,4.4,3.59,1.6,8.62,0.3,5.57,4.15,6.49,3.28,1.29,2.29,7.76,2.87,7.52,1.16
"Illinois","NOx",,,,,,,,,,,0.03,0.02,0.12,0.04,0.13,0.04,0.03,0.09,0.11,0.09,0.04,0.23,0.01,0.14,0.12,0.17,0.09,0.04,0.06,0.21,0.08,0.2,0.03
"Indiana","CH4",,,,,,0.13,,,0.31,0.22,0.19,0.06,0.18,0.22,0.28,0.24,0.12,0.24,0.16,0.06,0.32,0.08,0.1,0.04,0.03,0.03,0.08,0.05,0.07,0.11,0.03,0.09,0.04
"Indiana","N2O",,,,,,0.01,,,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0,0.01,0
"Indiana","CO",,,,,,3.86,,,9.28,6.42,5.82,1.73,5.5,6.44,8.29,7.18,3.68,7.2,4.77,1.68,9.41,2.49,3.07,1.15,1.05,0.8,2.36,1.51,2.08,3.19,0.84,2.71,1.06
"Indiana","NOx",,,,,,0.1,,,0.24,0.17,0.15,0.04,0.14,0.17,0.21,0.19,0.09,0.19,0.12,0.04,0.25,0.06,0.08,0.03,0.03,0.02,0.06,0.04,0.06,0.08,0.02,0.07,0.03
"Iowa","CH4",,,,,,,,,,0.01,0.01,0,0.01,0.01,0.02,0.01,0.01,0,0,0.02,0.03,0.02,0.12,0.07,0.03,0.04,0.02,0,0.13,0,0.02,0,0.01
"Iowa","N2O",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0
"Iowa","CO",,,,,,,,,,0.27,0.31,0,0.2,0.22,0.51,0.16,0.31,0.08,0.05,0.5,0.75,0.51,3.6,1.89,0.83,1.18,0.5,0.09,3.72,0.06,0.59,0.14,0.21
"Iowa","NOx",,,,,,,,,,0.01,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0,0.02,0.02,0.02,0.1,0.05,0.03,0.03,0.01,0,0.1,0,0.02,0,0.01
"Kansas","CH4",0.01,0.23,0,0.09,0.15,0.03,0.28,0.01,0.1,0,0.07,0.07,0.18,0.41,0.23,0.4,0.33,0.22,0.9,1.4,0.31,0.88,0.3,0.24,2.91,1.26,1.85,1.82,0.77,0.45,0.39,0.22,0.33
"Kansas","N2O",0,0.02,0,0.01,0.02,0,0.03,0,0.01,0,0.01,0.01,0.02,0.05,0.02,0.04,0.04,0.02,0.09,0.14,0.03,0.09,0.03,0.02,0.29,0.13,0.18,0.2,0.08,0.04,0.04,0.02,0.03
"Kansas","CO",0.13,6.21,0.03,2.45,4.05,0.72,7.51,0.17,3.05,0.01,1.53,1.64,4.47,10.74,6.2,10.45,8.37,5.28,25.17,39.15,8.22,23.64,7.95,6.66,81.79,35.45,51.59,45.39,21.18,12.64,11.28,6.36,9.59
"Kansas","NOx",0.01,0.22,0,0.09,0.15,0.03,0.28,0.01,0.08,0,0.09,0.08,0.18,0.43,0.22,0.41,0.34,0.24,0.82,1.26,0.31,0.86,0.29,0.22,2.53,1.12,1.56,1.79,0.67,0.37,0.3,0.18,0.26
"Kentucky","CH4",,6.96,,,2.42,1.53,,,0.05,8.44,3.17,5.13,0.17,0.1,0.56,1.24,0.53,0.57,0.49,0.32,1.61,0.1,0.25,0.38,0.11,0.19,1.88,0.13,0.15,0.46,0.22,0.66,1.8
"Kentucky","N2O",,0.68,,,0.24,0.15,,,0,0.82,0.3,0.5,0.02,0.01,0.06,0.12,0.05,0.06,0.05,0.03,0.15,0.01,0.02,0.04,0.01,0.02,0.18,0.01,0.02,0.04,0.02,0.06,0.17
"Kentucky","CO",,207.86,,,72.31,45.78,,,1.42,252.48,94.33,153.75,4.95,3.01,16.84,37.01,15.95,17.08,14.39,9.62,47.76,2.99,7.28,11.51,3.26,5.76,55.13,3.8,4.52,13.5,6.12,18.16,51.68
"Kentucky","NOx",,5.48,,,1.9,1.21,,,0.04,6.58,2.44,3.99,0.14,0.08,0.45,0.96,0.42,0.45,0.37,0.25,1.24,0.08,0.19,0.3,0.09,0.15,1.46,0.1,0.13,0.37,0.16,0.49,1.34
"Louisiana","CH4",,0,0.01,0,,0,0.08,0.08,0.11,0.04,0.55,0.22,0.14,0.92,0.36,0.83,0.84,0.89,0.63,0.56,2.01,0.6,0.41,1.67,1.32,1.29,1.5,1.47,1.28,1.64,0.77,0.82,1.1
"Louisiana","N2O",,0,0,0,,0,0.01,0.01,0.01,0,0.05,0.02,0.01,0.08,0.03,0.07,0.07,0.07,0.05,0.05,0.17,0.05,0.04,0.14,0.11,0.1,0.12,0.11,0.09,0.14,0.06,0.06,0.09
"Louisiana","CO",,0,0.23,0,,0.08,2.02,2.01,2.71,1.06,14.31,6.16,3.81,25.29,9.64,22.89,22.68,23.51,16.75,14.29,51.73,16.61,11.22,42.72,34.15,32.75,38.44,37.22,30.95,44.36,19.72,20.02,29.12
"Louisiana","NOx",,0,0.01,0,,0,0.06,0.05,0.08,0.03,0.38,0.16,0.1,0.67,0.26,0.61,0.6,0.62,0.45,0.38,1.38,0.43,0.3,1.14,0.91,0.88,0.94,0.91,0.74,1.12,0.5,0.49,0.73
"Maine","CH4",,,,,,,,,,,,0.02,,,,,0.06,0,,0.1,0,,,,,,,,0.01,,,0.01,0.01
"Maine","N2O",,,,,,,,,,,,0,,,,,0,0,,0.01,0,,,,,,,,0,,,0,0
"Maine","CO",,,,,,,,,,,,0.58,,,,,1.54,0.04,,2.72,0.03,,,,,,,,0.41,,,0.22,0.23
"Maine","NOx",,,,,,,,,,,,0.02,,,,,0.02,0,,0.05,0,,,,,,,,0.01,,,0,0
"Maryland","CH4",,,0,,,,,,,0,0,0,0,,0,0.01,0.01,0,0,0.01,0.01,0.04,0,,0,,,0.01,,0,,0,0.01
"Maryland","N2O",,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,,0,,0,0
"Maryland","CO",,,0.09,,,,,,,0.03,0.02,0.14,0.09,,0.05,0.15,0.28,0.01,0.01,0.3,0.16,1.27,0,,0.02,,,0.42,,0.14,,0.07,0.21
"Maryland","NOx",,,0,,,,,,,0,0,0,0,,0,0.01,0.01,0,0,0.01,0,0.04,0,,0,,,0.01,,0,,0,0.01
"Massachusetts","CH4",,,,,,,,,,,,,0,,,0.03,,,0.02,,0,,,,,,0,0,,,,0.06,0.09
"Massachusetts","N2O",,,,,,,,,,,,,0,,,0,,,0,,0,,,,,,0,0,,,,0.01,0.01
"Massachusetts","CO",,,,,,,,,,,,,0.07,,,0.76,,,0.58,,0,,,,,,0.07,0,,,,1.72,2.33
"Massachusetts","NOx",,,,,,,,,,,,,0,,,0.02,,,0.01,,0,,,,,,0,0,,,,0.04,0.06
"Michigan","CH4",0.28,,,,0.22,0.12,0.02,,0.33,0.9,0.16,,0.06,0.43,0.07,0.06,0.26,4.79,0.03,0.3,0.24,0.22,1.15,0,0.06,0.08,0.1,0.13,0.12,0.11,0.01,0.1,0.06
"Michigan","N2O",0.02,,,,0.02,0.01,0,,0.02,0.06,0.01,,0,0.04,0.01,0.01,0.02,0.3,0,0.02,0.02,0.02,0.08,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01
"Michigan","CO",7.45,,,,5.77,3.14,0.41,,8.59,23.29,4.46,,1.65,11.96,1.9,1.64,7.32,119.7,0.71,8.3,6.69,5.93,30.45,0.03,1.75,2.29,3.01,3.99,3.4,3.07,0.35,2.91,1.75
"Michigan","NOx",0.15,,,,0.11,0.06,0.01,,0.13,0.34,0.1,,0.04,0.23,0.04,0.04,0.17,1.48,0.02,0.16,0.13,0.1,0.49,0,0.04,0.05,0.05,0.08,0.06,0.06,0.01,0.06,0.03
"Minnesota","CH4",7.04,3.1,0.67,0.06,0.28,1.2,0.86,0.12,1.53,0.15,1.56,0.09,0.34,2.49,0.59,1.37,4.47,2.15,0.16,0.96,3.42,18.35,8.91,0.47,0.28,1.18,0.35,0.06,1.53,0.2,0.13,3.4,0.03
"Minnesota","N2O",0.5,0.24,0.05,0.01,0.02,0.09,0.07,0.01,0.1,0.01,0.12,0.01,0.03,0.18,0.04,0.1,0.34,0.16,0.01,0.08,0.23,1.2,0.59,0.03,0.02,0.08,0.03,0,0.11,0.01,0.01,0.25,0
"Minnesota","CO",183.74,83.73,18.18,1.91,7.9,32.7,24.09,3.23,39.31,4.19,41.18,2.36,9.07,65.21,15.56,36.05,120.83,57.85,4.33,27.48,87.65,464.7,226.97,12.36,7.26,30.18,9.19,1.63,40.12,5.23,3.56,89.95,0.93
"Minnesota","NOx",2.75,1.38,0.27,0.05,0.15,0.46,0.36,0.06,0.55,0.08,0.66,0.04,0.14,0.99,0.25,0.49,1.67,0.88,0.07,0.54,1.19,5.82,3.02,0.19,0.11,0.4,0.14,0.03,0.68,0.08,0.09,1.28,0.02
"Mississippi","CH4",0.36,0.19,0.19,0.04,0.26,0.15,0.35,0.15,0.03,0.1,0.27,0.26,0.17,0.29,0.33,1.19,0.93,0.66,1.83,0.73,2.01,1.31,0.34,1.98,2.28,1.25,1.15,0.73,1.26,0.64,0.57,0.84,0.61
"Mississippi","N2O",0.03,0.02,0.02,0,0.02,0.01,0.03,0.01,0,0.01,0.02,0.02,0.02,0.03,0.03,0.11,0.09,0.06,0.17,0.07,0.19,0.12,0.03,0.18,0.21,0.12,0.1,0.06,0.11,0.06,0.05,0.07,0.05
"Mississippi","CO",10.25,5.33,5.38,1.29,7.47,4.35,9.92,4.11,0.93,2.66,7.22,7.23,4.76,8.13,9.01,32.31,26.13,18.54,51.39,20.69,56.26,36.42,9.65,55.53,63.41,35.14,31.4,20.03,33.72,17.36,14.57,21.1,16.05
"Mississippi","NOx",0.3,0.16,0.17,0.03,0.21,0.13,0.28,0.12,0.02,0.08,0.21,0.2,0.14,0.23,0.25,0.91,0.71,0.53,1.42,0.56,1.55,1.08,0.26,1.53,1.79,0.96,0.82,0.53,0.87,0.47,0.41,0.6,0.45
"Missouri","CH4",,1.75,0.43,,1.84,0.46,0.37,0.1,0.03,0.48,0.62,0.08,0.45,0.88,0.98,1.42,1.22,0.87,0.49,1.38,2.76,1.77,1.02,0.77,0.85,1.13,0.83,0.84,0.84,1.48,0.61,2.03,0.63
"Missouri","N2O",,0.17,0.04,,0.17,0.04,0.03,0.01,0,0.04,0.06,0.01,0.04,0.08,0.09,0.14,0.11,0.08,0.05,0.13,0.25,0.17,0.1,0.07,0.08,0.11,0.08,0.08,0.08,0.14,0.06,0.19,0.06
"Missouri","CO",,51.98,12.77,,54.64,13.51,10.94,2.89,0.84,14.02,18.23,2.46,13.25,25.86,28.92,42.19,36.04,25.9,14.71,41.22,80.35,52.84,30.35,22.94,25.09,33.12,24.06,24.62,24.67,43.49,18.13,59.9,18.38
"Missouri","NOx",,1.33,0.33,,1.39,0.34,0.27,0.07,0.02,0.35,0.46,0.07,0.34,0.66,0.73,1.08,0.91,0.67,0.37,1.05,2.01,1.35,0.77,0.59,0.64,0.86,0.61,0.63,0.64,1.11,0.47,1.55,0.47
"Montana","CH4",1.21,2.47,0.06,0.01,8.27,0.01,1.6,0,1.83,0.51,44.73,17.56,1.68,61.51,0.44,4.67,24.85,55.6,1.34,2.82,0.65,8.19,14.75,5.73,0.48,26.86,2.58,56.37,7.68,1.11,4.08,31.73,6.65
"Montana","N2O",0.08,0.16,0.01,0,0.5,0,0.1,0,0.11,0.04,2.44,0.92,0.13,3.34,0.03,0.27,1.54,3,0.09,0.16,0.04,0.48,1.04,0.32,0.03,1.43,0.15,3.29,0.42,0.08,0.27,1.85,0.37
"Montana","CO",25.72,52.4,1.19,0.17,169.84,0.15,33.29,0.04,37.45,10.65,919.33,356.77,34.43,1250.3,9.1,96.29,515.73,1138.64,26.98,58.33,13.46,166.46,299.59,117.88,9.9,546.74,53.03,1159.37,156.92,23.19,83.42,654.08,136.83
"Montana","NOx",0.61,1.04,0.06,0.01,3.41,0.01,0.71,0,0.67,0.4,12.42,4.63,1.39,18.66,0.29,1.63,10.17,15.32,0.7,0.88,0.3,3.21,9.81,1.62,0.21,7.33,0.88,20.49,2.17,0.63,2.12,10.81,1.97
"Nebraska","CH4",,0,,,,0,0,0,0,0,0.06,0.02,0.03,0,0.01,0.01,1.7,0.02,0.03,0.09,0.03,0.03,3.53,0.02,0,0.01,0.02,0.01,0.01,0,0.03,0.27,0.41
"Nebraska","N2O",,0,,,,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0,0,0.01,0,0,0.31,0,0,0,0,0,0,0,0,0.02,0.03
"Nebraska","CO",,0,,,,0,0,0.03,0.06,0,1.16,0.46,0.64,0.03,0.41,0.14,34.07,0.35,0.78,2.65,0.57,0.76,70.65,0.66,0.1,0.13,0.36,0.13,0.38,0,0.6,5.4,8.1
"Nebraska","NOx",,0,,,,0,0,0,0,0,0.07,0.02,0.04,0,0.01,0.01,1.96,0.02,0.02,0.08,0.03,0.02,4.01,0.02,0,0,0.02,0.01,0.01,0,0.02,0.21,0.31
"Nevada","CH4",0.01,0.04,0.26,0,0.31,0.04,0.5,0.01,0.01,1.02,0.65,1.15,0.1,0.03,0.47,0.22,0.66,0.33,1.79,0.15,0.02,0.48,1.29,1.51,0.5,0.05,0.39,0.07,1.76,0.01,0.11,0.35,0.15
"Nevada","N2O",0,0.01,0.03,0,0.03,0,0.05,0,0,0.08,0.05,0.09,0.01,0,0.03,0.02,0.07,0.03,0.12,0.01,0,0.05,0.14,0.11,0.03,0,0.02,0,0.13,0,0.01,0.02,0.01
"Nevada","CO",0.13,1.02,5.91,0.04,6.65,0.89,11.08,0.12,0.18,21.42,13.85,25.01,2.22,0.71,9.68,5.02,14.68,7.33,37.5,2.97,0.51,10.85,29.61,31.54,10.62,1.07,7.95,1.32,37.43,0.33,2.19,7.09,3.14
"Nevada","NOx",0.01,0.05,0.23,0,0.22,0.04,0.44,0,0.01,0.71,0.35,0.74,0.04,0.02,0.22,0.22,0.59,0.27,0.85,0.08,0.01,0.47,1.24,0.8,0.22,0.03,0.11,0.02,0.89,0.01,0.04,0.1,0.05
"New Hampshire","CH4",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0.01
"New Hampshire","N2O",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0
"New Hampshire","CO",,,,,,,,,,,,,,,,0.09,,,,,0.01,,,,,,,,,,,,0.28
"New Hampshire","NOx",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0.01
"New Jersey","CH4",0.09,0.2,0.58,0.08,0.01,0.64,0.2,0.18,0.13,0.41,0.06,0.23,0.13,0.05,0.13,0.07,0.1,0.43,0.11,,0.07,,0.05,,0.05,0.06,0.02,0.06,0.03,0.17,0.04,0.08,0.16
"New Jersey","N2O",0.01,0.01,0.04,0.01,0,0.04,0.02,0.01,0.01,0.02,0,0.02,0.01,0,0.01,0,0.01,0.03,0.01,,0,,0,,0,0,0,0,0,0.01,0,0.01,0.01
"New Jersey","CO",2.34,4.54,12.89,1.87,0.24,14.4,5.15,4.32,2.76,8.6,1.42,5.77,3.08,1.02,2.85,1.36,2.08,9.4,2.59,,1.56,,1.16,,1.41,1.39,0.49,1.16,0.69,3.72,1.05,1.85,4.38
"New Jersey","NOx",0.06,0.11,0.32,0.05,0.01,0.35,0.13,0.11,0.06,0.19,0.04,0.15,0.07,0.02,0.07,0.03,0.04,0.22,0.07,,0.04,,0.03,,0.04,0.03,0.01,0.03,0.01,0.09,0.03,0.04,0.11
